name,foodon_id,big9,mapping_method
onion,FOODON_03316347,,label_match
red onion,FOODON_00003516,,label_match
garlic,FOODON_00003582,,label_match
shallot,FOODON_00003748,,label_match
scallion,FOODON_00003697,,label_match
leek,FOODON_00003670,,label_match
ginger,FOODON_00001901,,label_match
carrot,FOODON_00003408,,label_match
celery,FOODON_03301727,,label_match
bell pepper,FOODON_00003546,,label_match
jalapeno,FOODON_00003494,,curated_class
tomato,FOODON_03301453,,label_match
cherry tomato,FOODON_00003773,,label_match
potato,FOODON_03315354,,label_match
sweet potato,FOODON_00003445,,label_match
broccoli,FOODON_00003405,,label_match
cauliflower,FOODON_00003410,,label_match
cabbage,FOODON_00003406,,label_match
brussels sprout,FOODON_03311885,,label_match
kale,FOODON_03304859,,label_match
spinach,FOODON_00003496,,label_match
arugula,NCBITaxon_29727,,label_match
romaine lettuce,NCBITaxon_1759395,,label_match
lettuce,FOODON_00001998,,label_match
swiss chard,FOODON_03306698,,label_match
collard greens,FOODON_00003503,,label_match
zucchini,FOODON_00002448,,curated_class
yellow squash,FOODON_00003709,,label_match
butternut squash,FOODON_00005354,,label_match
cucumber,FOODON_00003415,,label_match
mushroom,FOODON_00003528,,label_match
eggplant,FOODON_00003618,,label_match
green bean,FOODON_03305806,,label_match
asparagus,NCBITaxon_4685,,label_match
corn,NCBITaxon_381124,,label_match
green pea,FOODON_03317199,,label_match
beet,FOODON_03317254,,label_match
radish,FOODON_00003431,,label_match
turnip,FOODON_00003447,,label_match
parsnip,FOODON_00003693,,label_match
pumpkin,FOODON_00003486,,label_match
avocado,FOODON_00003600,,label_match
fennel,FOODON_03000244,,label_match
parsley,FOODON_03000230,,label_match
cilantro,NCBITaxon_4047,,label_match
basil,FOODON_00003044,,label_match
mint,FOODON_00002432,,label_match
dill,FOODON_00001811,,label_match
chive,FOODON_03311167,,label_match
thyme,FOODON_00002312,,label_match
rosemary,NCBITaxon_39367,,label_match
sage,FOODON_00002217,,label_match
lemon,FOODON_03315104,,label_match
lime,FOODON_00003661,,label_match
orange,FOODON_03315106,,label_match
apple,FOODON_00002473,,label_match
banana,FOODON_00004183,,label_match
strawberry,FOODON_00003443,,label_match
blueberry,FOODON_00003541,,label_match
raspberry,FOODON_00003433,,label_match
blackberry,FOODON_00003487,,label_match
grape,FOODON_00003417,,label_match
peach,FOODON_03315502,,label_match
pear,FOODON_00003041,,label_match
plum,FOODON_00003483,,label_match
cherry,FOODON_00003478,,label_match
pineapple,FOODON_00003459,,label_match
mango,FOODON_00003538,,label_match
watermelon,FOODON_00003673,,label_match
cantaloupe,FOODON_00003577,,label_match
kiwi,FOODON_03414363,,label_match
grapefruit,FOODON_00003554,,label_match
raisin,FOODON_03301283,,label_match
dried cranberry,,,unmapped
date,FOODON_03304506,,label_match
dried apricot,,,unmapped
chicken breast,FOODON_00002703,,label_match
chicken thigh,FOODON_02020219,,label_match
whole chicken,FOODON_03411457,,alias_match
ground turkey,FOODON_00002714,,label_match
turkey breast,FOODON_00002690,,label_match
ground beef,FOODON_00001282,,label_match
beef steak,FOODON_00003029,,label_match
beef chuck roast,FOODON_02000103,,label_match
ground pork,,,unmapped
pork chop,FOODON_00004490,,label_match
