name,fdc_id,source_dataset,usda_description,calories_kcal,protein_g,fat_g,sat_fat_g,carbs_g,fiber_g,sugar_g,sodium_mg
all-purpose flour,168894,sr_legacy,"Wheat flour, white, all-purpose, enriched, bleached",364,10.33,0.98,0.155,76.31,2.7,0.27,2
allspice,171315,sr_legacy,"Spices, allspice, ground",263,6.09,8.69,2.55,72.12,21.6,,77
almond,170567,sr_legacy,"Nuts, almonds",579,21.15,49.93,3.802,21.55,12.5,4.35,1
almond butter,168603,sr_legacy,"Nuts, almond butter, plain, with salt added",614,20.96,55.5,6.55,18.82,10.3,6.27,227
anchovy,174183,sr_legacy,"Fish, anchovy, european, canned in oil, drained solids",210,28.89,9.71,2.203,0,0,0,3668
apple,171688,sr_legacy,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",52,0.26,0.17,0.028,13.81,2.4,10.39,1
apple cider vinegar,173469,sr_legacy,"Vinegar, cider",21,0,0,0,0.93,0,0.4,5
arborio rice,168881,sr_legacy,"Rice, white, short-grain, enriched, uncooked",358,6.5,0.52,0.14,79.15,2.8,,1
arugula,169387,sr_legacy,"Arugula, raw",25,2.58,0.66,0.086,3.65,1.6,2.05,27
asparagus,168389,sr_legacy,"Asparagus, raw",20,2.2,0.12,0.04,3.88,2.1,1.88,2
avocado,171705,sr_legacy,"Avocados, raw, all commercial varieties",160,2,14.66,2.126,8.53,6.7,0.66,7
bacon,168277,sr_legacy,"Pork, cured, bacon, unprepared",393,13.66,37.13,12.615,0,0,0.35,751
baking powder,172803,sr_legacy,"Leavening agents, baking powder, double-acting, sodium aluminum sulfate",53,0,0,0,27.7,0.2,0,10600
baking soda,175040,sr_legacy,"Leavening agents, baking soda",0,0,0,0,0,0,0,27360
balsamic vinegar,172241,sr_legacy,"Vinegar, balsamic",88,0.49,0,0,17.03,,14.95,23
banana,173944,sr_legacy,"Bananas, raw",89,1.09,0.33,0.112,22.84,2.6,12.23,1
barley,170284,sr_legacy,"Barley, pearled, raw",352,9.91,1.16,0.244,77.72,15.6,0.8,9
basil,172232,sr_legacy,"Basil, fresh",23,3.15,0.64,0.041,2.65,1.6,0.3,4
bay leaf,170917,sr_legacy,"Spices, bay leaf",313,7.61,8.36,2.28,74.97,26.3,,23
bbq sauce,174523,sr_legacy,"Sauce, barbecue",172,0.82,0.63,0.045,40.77,0.9,33.24,1027
beef broth,171538,sr_legacy,"Soup, beef broth or bouillon canned, ready-to-serve",7,1.14,0.22,0.11,0.04,0,0,372
beef chuck roast,2646174,foundation,"Beef, chuck, roast, boneless, choice, raw",231.705,18.4,17.8,6.341,0,,,48.44
beef steak,168726,sr_legacy,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",201,20.3,12.71,5.127,0,0,0,52
beet,169145,sr_legacy,"Beets, raw",43,1.61,0.17,0.027,9.56,2.8,6.76,78
bell pepper,170108,sr_legacy,"Peppers, sweet, red, raw",26,0.99,0.3,0.059,6.03,2.1,4.2,4
black bean,173734,sr_legacy,"Beans, black, mature seeds, raw",341,21.6,1.42,0.366,62.36,15.5,2.12,5
black pepper,170931,sr_legacy,"Spices, pepper, black",251,10.39,3.26,1.392,63.95,25.3,0.64,20
blackberry,173946,sr_legacy,"Blackberries, raw",43,1.39,0.49,0.014,9.61,5.3,4.88,1
blueberry,171711,sr_legacy,"Blueberries, raw",57,0.74,0.33,0.028,14.49,2.4,9.96,1
bread,325871,foundation,"Bread, white, commercially prepared",270,9.43,3.59,0.821,49.2,2.3,5.34,477
breadcrumb,174928,sr_legacy,"Bread, crumbs, dry, grated, plain",395,13.35,5.3,1.203,71.98,4.5,6.2,732
broccoli,747447,foundation,"Broccoli, raw",31,2.57,0.34,0.039,6.27,2.4,1.4,36
brown rice,169703,sr_legacy,"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)",367,7.54,3.2,0.591,76.25,3.6,0.66,5
brown sugar,168833,sr_legacy,"Sugars, brown",380,0.12,0,0,98.09,0,97.02,28
brussels sprout,170383,sr_legacy,"Brussels sprouts, raw",43,3.38,0.3,0.062,8.95,3.8,2.2,25
bulgur,170688,sr_legacy,"Bulgur, dry",342,12.29,1.33,0.232,75.87,12.5,0.41,17
butter,173410,sr_legacy,"Butter, salted",717,0.85,81.11,51.368,0.06,0,0.06,643
buttermilk,170874,sr_legacy,"Milk, buttermilk, fluid, cultured, lowfat",40,3.31,1.07,0.66,4.79,0,5.36,148
butternut squash,169295,sr_legacy,"Squash, winter, butternut, raw",45,1,0.1,0.021,11.69,2,2.2,4
cabbage,169975,sr_legacy,"Cabbage, raw",25,1.28,0.1,0.034,5.8,2.5,3.2,18
canned tomato,170051,sr_legacy,"Tomatoes, red, ripe, canned, packed in tomato juice",16,0.79,0.25,0.034,3.47,1.9,2.55,115
