name,fdc_id,source_dataset,amount,unit,portion_description,gram_weight
all-purpose flour,168894,sr_legacy,1,cup,cup,125
allspice,171315,sr_legacy,1,tsp,tsp,1.9
allspice,171315,sr_legacy,1,tbsp,tbsp,6
almond,170567,sr_legacy,1,cup,"cup, whole",143
almond,170567,sr_legacy,1,cup,"cup, sliced",92
almond,170567,sr_legacy,1,cup,"cup, slivered",108
almond,170567,sr_legacy,1,cup,"cup, ground",95
almond,170567,sr_legacy,1,oz,oz (23 whole kernels),28.35
almond,170567,sr_legacy,1,whole,almond,1.2
almond butter,168603,sr_legacy,1,tbsp,tbsp,16
almond butter,168603,sr_legacy,1,cup,cup,250
anchovy,174183,sr_legacy,1,oz,"oz, boneless",28.35
anchovy,174183,sr_legacy,1,whole,anchovy,4
anchovy,174183,sr_legacy,1,can,can (2 oz),45
anchovy,174183,sr_legacy,5,whole,anchovies,20
apple,171688,sr_legacy,1,cup,"cup, quartered or chopped",125
apple,171688,sr_legacy,1,cup,cup slices,109
apple,171688,sr_legacy,1,large,"large (3-1/4"" dia)",223
apple,171688,sr_legacy,1,medium,"medium (3"" dia)",182
apple,171688,sr_legacy,1,small,"small (2-3/4"" dia)",149
apple,171688,sr_legacy,1,extra,"extra small (2-1/2"" dia)",101
apple,171688,sr_legacy,1,nlea,NLEA serving,242
apple cider vinegar,173469,sr_legacy,1,tbsp,tbsp,14.9
apple cider vinegar,173469,sr_legacy,1,cup,cup,239
apple cider vinegar,173469,sr_legacy,1,tsp,tsp,5
arborio rice,168881,sr_legacy,1,cup,cup,200
arugula,169387,sr_legacy,1,leaf,leaf,2
arugula,169387,sr_legacy,0.5,cup,cup,10
asparagus,168389,sr_legacy,1,cup,cup,134
asparagus,168389,sr_legacy,1,spear,"spear, small (5"" long or less)",12
asparagus,168389,sr_legacy,1,spear,"spear, medium (5-1/4"" to 7"" long)",16
asparagus,168389,sr_legacy,1,spear,"spear, large (7-1/4"" to 8-1/2"")",20
asparagus,168389,sr_legacy,1,spear,"spear, extra large (8-3/4"" to 10"" long)",24
asparagus,168389,sr_legacy,1,spear,"spear tip (2"" long or less)",3.5
avocado,171705,sr_legacy,1,cup,"cup, cubes",150
avocado,171705,sr_legacy,1,cup,"cup, pureed",230
avocado,171705,sr_legacy,1,cup,"cup, sliced",146
avocado,171705,sr_legacy,1,whole,"avocado, NS as to Florida or California",201
avocado,171705,sr_legacy,1,nlea,NLEA Serving,50
bacon,168277,sr_legacy,4,oz,oz,113
bacon,168277,sr_legacy,1,slice,slice raw,28
bacon,168277,sr_legacy,1,package,package,442
baking powder,172803,sr_legacy,1,tsp,tsp,4.6
baking powder,172803,sr_legacy,0.5,tsp,tsp,2.3
baking soda,175040,sr_legacy,1,tsp,tsp,4.6
baking soda,175040,sr_legacy,0.5,tsp,tsp,2.3
balsamic vinegar,172241,sr_legacy,1,tbsp,tbsp,16
balsamic vinegar,172241,sr_legacy,1,cup,cup,255
balsamic vinegar,172241,sr_legacy,1,tsp,tsp,5.3
banana,173944,sr_legacy,1,cup,"cup, mashed",225
banana,173944,sr_legacy,1,cup,"cup, sliced",150
banana,173944,sr_legacy,1,extra,"extra small (less than 6"" long)",81
banana,173944,sr_legacy,1,small,"small (6"" to 6-7/8"" long)",101
banana,173944,sr_legacy,1,medium,"medium (7"" to 7-7/8"" long)",118
banana,173944,sr_legacy,1,large,"large (8"" to 8-7/8"" long)",136
banana,173944,sr_legacy,1,extra,"extra large (9"" or longer)",152
banana,173944,sr_legacy,1,nlea,NLEA serving,126
barley,170284,sr_legacy,1,cup,cup,200
basil,172232,sr_legacy,5,leaves,leaves,2.5
basil,172232,sr_legacy,2,tbsp,"tbsp, chopped",5.3
basil,172232,sr_legacy,0.25,cup,"cup leaves, whole",6
bay leaf,170917,sr_legacy,1,tsp,"tsp, crumbled",0.6
bay leaf,170917,sr_legacy,1,tbsp,"tbsp, crumbled",1.8
bbq sauce,174523,sr_legacy,1,tbsp,tbsp,17
bbq sauce,174523,sr_legacy,0.5,cup,cup,143
bbq sauce,174523,sr_legacy,1,cup,cup,279
beef broth,171538,sr_legacy,1,cup,cup,240
beef broth,171538,sr_legacy,1,can,can 14.5 oz,435
beef broth,171538,sr_legacy,1,container,container 32 oz,960
beef steak,168726,sr_legacy,4,oz,oz,113
beef steak,168726,sr_legacy,1,whole,steak,608
beet,169145,sr_legacy,1,cup,cup,136
beet,169145,sr_legacy,1,whole,"beet (2"" dia)",82
bell pepper,170108,sr_legacy,1,cup,"cup, chopped",149
bell pepper,170108,sr_legacy,1,cup,"cup, sliced",92
